"filename", "language", "C#", "Razor", "CSS", "XML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\App.razor", "Razor", 0, 51, 0, 0, 0, 0, 7, 13, 71
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Admin\UserRow.razor", "Razor", 0, 190, 0, 0, 0, 0, 0, 50, 240
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Auth\CodeInputComponent.razor", "Razor", 0, 447, 0, 0, 0, 0, 0, 79, 526
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Auth\NotAuthorized.razor", "Razor", 0, 264, 0, 0, 0, 0, 0, 44, 308
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Auth\PasswordStrengthIndicator.razor", "Razor", 0, 236, 0, 0, 0, 0, 0, 46, 282
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Auth\RedirectToLogin.razor", "Razor", 0, 93, 0, 0, 0, 0, 0, 17, 110
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\AdminLayout.razor", "Razor", 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\AdminNavMenu.razor", "Razor", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\DashboardLayout.razor", "Razor", 0, 718, 0, 0, 0, 0, 0, 104, 822
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\EmptyLayout.razor", "Razor", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\MainLayout.razor", "Razor", 0, 443, 0, 0, 0, 0, 0, 48, 491
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\MainLayout.razor.css", "CSS", 0, 0, 713, 0, 0, 0, 20, 105, 838
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\NavMenu.razor", "Razor", 0, 269, 0, 0, 0, 0, 0, 29, 298
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\NavMenu.razor.css", "CSS", 0, 0, 225, 0, 0, 0, 8, 36, 269
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Layout\ParentLayout.razor", "Razor", 0, 361, 0, 0, 0, 0, 0, 50, 411
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\AdminExportLogs.razor", "Razor", 0, 229, 0, 0, 0, 0, 0, 27, 256
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\AdminFaq.razor", "Razor", 0, 378, 0, 0, 0, 0, 0, 48, 426
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\AdminRoles.razor", "Razor", 0, 186, 0, 0, 0, 0, 0, 29, 215
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\AdminSyncLogs.razor", "Razor", 0, 279, 0, 0, 0, 0, 0, 29, 308
