"filename", "language", "XML", "JSON", "C#", "Razor", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\App.xaml", "XML", 41, 0, 0, 0, 0, 0, 44, 19, 104
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\App.xaml.cs", "C#", 0, 0, 478, 0, 0, 0, 64, 100, 642
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\AppShell.xaml", "XML", 50, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\AppShell.xaml.cs", "C#", 0, 0, 33, 0, 0, 0, 8, 8, 49
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\BoolConverters.cs", "C#", 0, 0, 103, 0, 0, 0, 25, 17, 145
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\DiabetesTypeConverter.cs", "C#", 0, 0, 36, 0, 0, 0, 4, 3, 43
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\GlucoseUiStateConverters.cs", "C#", 0, 0, 39, 0, 0, 0, 2, 6, 47
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\PendingSyncToBoolConverter.cs", "C#", 0, 0, 16, 0, 0, 0, 3, 4, 23
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\ScalePresetToBoolConverter.cs", "C#", 0, 0, 25, 0, 0, 0, 4, 6, 35
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\ScheduleConverters.cs", "C#", 0, 0, 94, 0, 0, 0, 26, 13, 133
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\StatusToColorConverter.cs", "C#", 0, 0, 42, 0, 0, 0, 62, 14, 118
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Database\AppDbContext.cs", "C#", 0, 0, 499, 0, 0, 0, 167, 187, 853
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Database\AppDbContextDesignTimeFactory.cs", "C#", 0, 0, 15, 0, 0, 0, 20, 5, 40
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Database\DbInitializer.cs", "C#", 0, 0, 56, 0, 0, 0, 17, 9, 82
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Extensions\ServiceCollectionExtensions.cs", "C#", 0, 0, 119, 0, 0, 0, 33, 23, 175
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\GlobalXmlns.cs", "C#", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Infrastructure\Handlers\JwtAuthorizationHandler.cs", "C#", 0, 0, 26, 0, 0, 0, 4, 7, 37
